,area,building_floors,district,flat_floor,neighborhood,price,rooms_count,warming_type
40,250,14,Kadıköy,3,Suadiye,5350000,5.0,Kombi
41,135,6,Kadıköy,5,Erenköy,1395000,4.0,Merkezi
42,168,5,Beşiktaş,3,Ulus,3990000,4.0,Merkezi
43,168,5,Beşiktaş,5,Ulus,3550000,4.0,Merkezi
44,146,5,Maltepe,1,İdealtepe,1350000,4.0,Merkezi (Pay Ölçer)
45,120,4,Maltepe,1,Feyzullah,526000,4.0,Kombi
46,125,6,Beylikdüzü,3,Adnan Kahveci,585000,3.0,Kombi
47,170,11,Beylikdüzü,9,Adnan Kahveci,765000,4.0,Kombi
49,130,6,Avcılar,0,Mustafa Kemal Paşa,355000,4.0,Kombi
50,100,5,Beylikdüzü,1,Yakuplu,269000,3.0,Kombi
51,100,5,Esenyurt,0,Ardıçlı,139000,3.0,Kombi
52,100,5,Beylikdüzü,0,Cumhuriyet,149900,3.0,Kombi
53,140,5,Esenyurt,2,Mehterçeşme,435000,4.0,Kombi
54,100,6,Beylikdüzü,4,Cumhuriyet,259000,3.0,Kombi
56,150,5,Kağıthane,1,Sultan Selim,625000,4.0,Kombi
59,230,4,Maltepe,4,İdealtepe,1675000,5.0,Kombi
60,75,4,Maltepe,0,Küçükyalı,550000,2.0,Kombi
61,220,5,Maltepe,5,İdealtepe,1780000,6.0,Kombi
62,66,4,Maltepe,0,İdealtepe,385000,2.0,Kombi
63,265,4,Maltepe,4,İdealtepe,2320000,7.0,Kombi
64,115,4,Maltepe,4,Altıntepe,750000,3.0,Kombi
65,115,4,Esenyurt,0,Üçevler,284000,3.0,Kombi
66,100,4,Esenyurt,0,Atatürk,145000,3.0,Kombi
67,110,4,Esenyurt,2,Balıkyolu,309000,3.0,Kombi
68,100,4,Esenyurt,0,Akşemseddin,167000,3.0,Kombi
69,90,6,Avcılar,2,Mustafa Kemal Paşa,194000,3.0,Kombi
70,100,4,Esenyurt,0,Üçevler,158500,3.0,Kombi
71,90,4,Beylikdüzü,0,Yakuplu,199000,3.0,Kombi
72,200,5,Beylikdüzü,5,Yakuplu,585000,6.0,Kombi
73,145,5,Esenyurt,2,Güzelyurt,399000,4.0,Kombi
75,105,31,Başakşehir,5,Bahçeşehir 2. Kısım,449000,3.0,Merkezi (Pay Ölçer)
76,186,3,Beylikdüzü,2,Adnan Kahveci,1350000,4.0,Kombi
77,160,4,Esenyurt,3,Cumhuriyet,680000,5.0,Kombi
78,135,5,Beylikdüzü,0,Cumhuriyet,132500,4.0,Kombi
79,120,6,Beylikdüzü,3,Cumhuriyet,345000,3.0,Kombi
80,160,20,Başakşehir,12,Bahçeşehir 2. Kısım,460000,4.0,Merkezi
81,115,30,Başakşehir,10,Bahçeşehir 2. Kısım,450000,3.0,Merkezi
82,160,30,Başakşehir,7,Bahçeşehir 1. Kısım,460000,4.0,Merkezi
83,115,30,Başakşehir,7,Bahçeşehir 2. Kısım,225000,3.0,Merkezi
84,160,15,Beylikdüzü,7,Barış,330000,4.0,Merkezi
86,125,10,Kadıköy,7,Suadiye,2095000,4.0,Kombi
87,220,3,Sarıyer,3,Maden,3895000,5.0,Kombi
88,120,5,Kağıthane,0,Seyrantepe,485000,4.0,Rare
89,140,3,Küçükçekmece,2,Cumhuriyet,750000,4.0,Kombi
90,125,5,Küçükçekmece,1,Fevzi Çakmak,270000,4.0,Kombi
91,120,5,Beylikdüzü,4,Cumhuriyet,249900,4.0,Kombi
92,98,5,Esenyurt,0,Üçevler,139900,3.0,Kombi
93,100,5,Avcılar,2,Mustafa Kemal Paşa,255000,3.0,Kombi
94,90,5,Şişli,2,Merkez,760000,3.0,Merkezi (Pay Ölçer)
95,212,5,Beşiktaş,0,Levazım,10500000,4.0,Merkezi (Pay Ölçer)
96,458,5,Beşiktaş,5,Levazım,19250000,7.0,Merkezi (Pay Ölçer)
97,100,4,Beylikdüzü,0,Cumhuriyet,170000,3.0,Kombi
98,135,4,Esenyurt,0,İstiklal,154900,4.0,Kombi
99,140,6,Şişli,1,Teşvikiye,2495000,5.0,Merkezi
100,90,6,Esenyurt,2,Güzelyurt,267000,3.0,Kombi
102,140,3,Beşiktaş,0,Ortaköy,2250000,4.0,Kombi
103,110,5,Beylikdüzü,2,Cumhuriyet,320000,3.0,Kombi
104,120,10,Beylikdüzü,7,Cumhuriyet,380000,3.0,Kombi
106,207,6,Beşiktaş,6,Ortaköy,4400000,5.0,Merkezi (Pay Ölçer)
107,150,12,Kadıköy,2,Caddebostan,3650000,4.0,Kombi
108,140,10,Kadıköy,7,Suadiye,2095000,4.0,Kombi
109,290,7,Kadıköy,7,Suadiye,5950000,6.0,Kombi
110,130,7,Kadıköy,6,Suadiye,1795000,4.0,Kombi
111,145,10,Kadıköy,3,Göztepe,2700000,4.0,Kombi
112,190,7,Kadıköy,6,Bostancı,1790000,4.0,Kombi
113,150,11,Kadıköy,2,Göztepe,2950000,4.0,Kombi
114,396,15,Kadıköy,15,Suadiye,5250000,7.0,Kombi
115,155,4,Kadıköy,1,Feneryolu,3100000,5.0,Kombi
116,160,10,Kadıköy,0,Erenköy,1475000,4.0,Kombi
117,140,17,Kadıköy,14,Caddebostan,3500000,4.0,Kombi
118,150,9,Kadıköy,7,Suadiye,2750000,4.0,Kombi
119,200,10,Kadıköy,5,Erenköy,1745000,5.0,Merkezi
120,200,4,Kadıköy,4,Fenerbahçe,5800000,5.0,Kombi
121,125,8,Kadıköy,2,Erenköy,1850000,4.0,Kombi
122,155,15,Kadıköy,12,Göztepe,3450000,4.0,Kombi
123,350,13,Kadıköy,13,Göztepe,7250000,6.0,Kombi
124,170,12,Kadıköy,9,Caddebostan,5500000,5.0,Kombi
127,135,14,Kadıköy,11,Erenköy,2150000,4.0,Merkezi (Pay Ölçer)
128,120,4,Maltepe,4,Feyzullah,564000,4.0,Kombi
129,180,14,Beylikdüzü,14,Barış,580000,4.0,Kombi
130,150,4,Büyükçekmece,4,Cumhuriyet,745000,5.0,Kombi
131,100,5,Beylikdüzü,3,Büyükşehir,217500,3.0,Kombi
132,100,4,Beylikdüzü,3,Cumhuriyet,180000,3.0,Kombi
133,95,5,Beylikdüzü,-1,Cumhuriyet,145500,3.0,Kombi
134,115,10,Çekmeköy,1,Cumhuriyet,455000,3.0,Kombi
135,85,4,Beşiktaş,1,Vişnezade,1050000,3.0,Kombi
136,175,5,Şişli,1,Merkez,1800000,4.0,Kombi
137,145,15,Beylikdüzü,14,Adnan Kahveci,695000,4.0,Kombi
139,220,4,Maltepe,4,İdealtepe,1400000,6.0,Kombi
140,130,4,Maltepe,3,Küçükyalı,965000,4.0,Kombi
141,100,4,Maltepe,0,Altıntepe,765000,3.0,Kombi
142,110,4,Maltepe,2,Küçükyalı,720000,3.0,Kombi
143,110,4,Maltepe,2,Küçükyalı,540000,3.0,Kombi
144,90,4,Maltepe,0,Küçükyalı,350000,3.0,Kombi
145,100,3,Büyükçekmece,2,Mimar Sinan Merkez,980000,3.0,Kombi
146,100,5,Esenyurt,1,Akevler,175000,3.0,Kombi
147,95,6,Beylikdüzü,-1,Cumhuriyet,159000,3.0,Kombi
148,350,5,Beşiktaş,5,Levazım,9500000,6.0,Merkezi
151,180,6,Beşiktaş,1,Etiler,7200000,4.0,Merkezi
152,168,6,Beşiktaş,2,Levazım,7000000,3.0,Merkezi (Pay Ölçer)
156,105,5,Küçükçekmece,4,Fatih,680000,3.0,Rare
157,160,4,Beşiktaş,0,Bebek,6400000,3.0,Merkezi
158,130,5,Beylikdüzü,2,Cumhuriyet,440000,4.0,Kombi
160,342,33,Ataşehir,33,Atatürk,4500000,5.0,Merkezi
163,85,6,Ataşehir,6,Atatürk,900000,3.0,Merkezi
164,136,9,Ataşehir,4,Atatürk,1500000,4.0,Merkezi (Pay Ölçer)
167,125,10,Kadıköy,7,Suadiye,2095000,4.0,Kombi
169,110,12,Beylikdüzü,8,Adnan Kahveci,450000,3.0,Kombi
170,125,4,Maltepe,1,Altıntepe,495000,4.0,Kombi
171,105,3,Maltepe,0,Küçükyalı,415000,3.0,Kombi
172,160,4,Maltepe,0,Çınar,405000,4.0,Kombi
173,485,5,Maltepe,5,Altıntepe,4950000,7.0,Kombi
174,135,4,Maltepe,2,Altıntepe,490000,4.0,Kombi
175,155,3,Maltepe,0,Çınar,405000,4.0,Kombi
176,115,8,Maltepe,2,Altıntepe,790000,3.0,Merkezi (Pay Ölçer)
178,125,5,Maltepe,2,Zümrütevler,205000,3.0,Kombi
180,140,9,Kadıköy,2,Erenköy,1375000,4.0,Kombi
181,135,6,Kadıköy,5,Erenköy,1395000,4.0,Kombi
182,150,12,Kadıköy,10,Feneryolu,1575000,4.0,Kombi
183,200,13,Kadıköy,13,Feneryolu,1675000,5.0,Kombi
184,160,11,Kadıköy,2,Feneryolu,1850000,4.0,Kombi
185,130,8,Kadıköy,5,Erenköy,1870000,3.0,Kombi
187,160,7,Kadıköy,7,Göztepe,1995000,4.0,Kombi
188,160,13,Kadıköy,4,Feneryolu,1600000,4.0,Kombi
189,120,3,Kadıköy,8,Erenköy,2200000,4.0,Kombi
191,250,13,Kadıköy,13,Erenköy,3700000,6.0,Kombi
192,230,3,Kadıköy,3,Erenköy,3595000,5.0,Kombi
193,209,12,Kadıköy,10,Caddebostan,4250000,5.0,Kombi
194,180,22,Kadıköy,7,Erenköy,4750000,4.0,Kombi
195,180,13,Kadıköy,12,Caddebostan,5000000,5.0,Kombi
196,330,10,Kadıköy,10,Fenerbahçe,6900000,8.0,Kombi
198,120,5,Beylikdüzü,0,Kavaklı,459000,3.0,Kombi
199,130,4,Kağıthane,4,Gültepe,510000,4.0,Kombi
200,76,5,Kağıthane,0,Sultan Selim,299000,2.0,Kombi
202,140,15,Kadıköy,9,Erenköy,2750000,4.0,Merkezi (Pay Ölçer)
203,95,10,Eyüpsultan,10,Çırçır,519000,3.0,Kombi
204,110,4,Beylikdüzü,2,Yakuplu,450000,3.0,Kombi
205,110,11,Kartal,2,Esentepe,255000,4.0,Kombi
206,85,4,Bayrampaşa,-1,Muratpaşa,175000,3.0,Rare
207,165,5,Esenyurt,4,Güzelyurt,377000,6.0,Kombi
208,100,8,Beylikdüzü,5,Cumhuriyet,380000,3.0,Kombi
209,85,5,Beylikdüzü,0,Kavaklı,174000,4.0,Kombi
210,110,5,Esenyurt,3,İnönü,348500,3.0,Kombi
211,140,5,Büyükçekmece,2,Atatürk,765000,4.0,Kombi
212,120,8,Kadıköy,1,Kozyatağı,785000,4.0,Merkezi
214,220,13,Kadıköy,2,Caddebostan,3600000,5.0,Merkezi
215,135,4,Beylikdüzü,0,Cumhuriyet,154900,4.0,Kombi
216,105,6,Başakşehir,2,Bahçeşehir 2. Kısım,347500,3.0,Kombi
217,105,6,Başakşehir,-1,Bahçeşehir 2. Kısım,135000,3.0,Kombi
218,78,40,Ataşehir,5,Yeni Sahra,570000,3.0,Merkezi (Pay Ölçer)
219,95,6,Avcılar,0,Mustafa Kemal Paşa,330000,3.0,Kombi
221,100,6,Avcılar,0,Mustafa Kemal Paşa,270000,3.0,Kombi
222,100,6,Avcılar,2,Mustafa Kemal Paşa,369000,3.0,Kombi
223,160,11,Çekmeköy,6,Sultançiftliği,850000,4.0,Kombi
224,140,6,Kadıköy,1,Suadiye,1620000,4.0,Kombi
225,160,12,Kadıköy,0,Caddebostan,3200000,5.0,Merkezi (Pay Ölçer)
226,150,12,Kadıköy,2,Göztepe,2950000,4.0,Kombi
227,125,10,Kadıköy,7,Suadiye,2095000,4.0,Kombi
228,140,14,Kadıköy,2,Caddebostan,3650000,4.0,Merkezi (Pay Ölçer)
229,135,15,Kadıköy,12,Göztepe,3450000,4.0,Kombi
230,135,9,Kadıköy,4,Göztepe,2395000,4.0,Kombi
231,155,9,Kadıköy,1,Erenköy,2950000,4.0,Kombi
232,160,11,Kadıköy,2,Feneryolu,1850000,4.0,Kombi
233,150,8,Kadıköy,4,Caddebostan,4000000,4.0,Kombi
234,140,14,Kadıköy,2,Caddebostan,3650000,4.0,Merkezi (Pay Ölçer)
235,120,9,Kadıköy,4,Kozyatağı,1345000,4.0,Merkezi
236,260,7,Kadıköy,7,Suadiye,5950000,6.0,Kombi
237,115,5,Şişli,2,Eskişehir,940000,4.0,Kombi
238,145,6,Avcılar,3,Mustafa Kemal Paşa,477000,4.0,Kombi
239,220,4,Sarıyer,4,Zekeriyaköy,2000000,5.0,Kombi
240,120,4,Bahçelievler,3,Bahçelievler,1050000,4.0,Kombi
241,160,4,Bahçelievler,3,Bahçelievler,2100000,4.0,Kombi
242,160,15,Beylikdüzü,6,Barış,330000,4.0,Merkezi
244,95,4,Esenyurt,0,Talatpaşa,249000,3.0,Kombi
245,120,4,Esenyurt,1,Üçevler,368500,3.0,Kombi
246,145,7,Beşiktaş,6,Dikilitaş,1600000,4.0,Merkezi
247,95,5,Beşiktaş,-1,Abbasağa,750000,2.0,Kombi
248,110,4,Beşiktaş,0,Vişnezade,550000,4.0,Kombi
249,80,6,Beylikdüzü,2,Cumhuriyet,119000,2.0,Kombi
250,200,10,Kadıköy,5,Erenköy,1745000,5.0,Merkezi
251,85,4,Kağıthane,0,Sultan Selim,490000,3.0,Kombi
252,110,4,Beylikdüzü,0,Cumhuriyet,135000,3.0,Kombi
253,200,4,Sarıyer,3,Tarabya,7400000,5.0,Kombi
254,130,12,Kadıköy,6,Suadiye,2185000,4.0,Merkezi (Pay Ölçer)
255,105,6,Başakşehir,3,Bahçeşehir 2. Kısım,364500,3.0,Kombi
257,180,4,Üsküdar,3,Bulgurlu,810000,6.0,Kombi
258,110,6,Esenyurt,0,Piri Reis,265000,4.0,Kombi
259,220,6,Esenyurt,6,Piri Reis,525000,6.0,Kombi
261,200,13,Kadıköy,11,Caddebostan,9000000,5.0,Kombi
262,100,6,Esenyurt,2,Saadetdere,435000,3.0,Kombi
263,80,4,Sancaktepe,1,Osmangazi,280000,3.0,Kombi
264,140,4,Sancaktepe,4,Merve,355000,4.0,Kombi
265,140,5,Esenyurt,3,Saadetdere,495000,4.0,Kombi
266,110,6,Esenyurt,2,Balıkyolu,310000,3.0,Kombi
268,130,6,Esenyurt,2,Ardıçlı,365000,4.0,Kombi
270,75,4,Maltepe,0,Çınar,539000,2.0,Kombi
272,205,5,Beşiktaş,3,Ortaköy,8500000,5.0,Kombi
273,105,6,Çekmeköy,0,Ekşioğlu,259000,3.0,Kombi
274,145,4,Çekmeköy,0,Ekşioğlu,269000,4.0,Kombi
275,120,6,Beşiktaş,6,Gayrettepe,1350000,3.0,Merkezi
276,95,8,Beşiktaş,-1,Gayrettepe,850000,3.0,Merkezi
278,80,8,Ataşehir,0,İçerenköy,430000,2.0,Kombi
279,160,6,Ataşehir,2,İçerenköy,715000,4.0,Kombi
280,270,12,Kadıköy,10,Fenerbahçe,9000000,5.0,Merkezi (Pay Ölçer)
281,160,5,Şişli,2,Halide Edip Adıvar,1250000,5.0,Kombi
282,100,4,Ataşehir,2,Esatpaşa,550000,3.0,Kombi
283,75,14,Başakşehir,8,Bahçeşehir 2. Kısım,137000,2.0,Merkezi (Pay Ölçer)
284,90,5,Çekmeköy,0,Ekşioğlu,339000,3.0,Kombi
285,88,5,Sarıyer,0,Zekeriyaköy,1050000,3.0,Merkezi (Pay Ölçer)
287,70,30,Beylikdüzü,7,Cumhuriyet,204900,2.0,Kombi
288,105,6,Esenyurt,0,Güzelyurt,139900,3.0,Kombi
289,145,6,Başakşehir,2,Bahçeşehir 2. Kısım,455000,4.0,Kombi
290,130,5,Beylikdüzü,0,Cumhuriyet,154900,4.0,Kombi
291,90,5,Esenyurt,0,İnönü,124000,2.0,Kombi
292,250,6,Şişli,0,Harbiye,4500000,4.0,Merkezi
293,130,23,Eyüpsultan,4,Güzeltepe,1975000,3.0,Merkezi (Pay Ölçer)
294,80,3,Fatih,-2,Şehremini,450000,3.0,Kombi
295,146,4,Beşiktaş,0,Bebek,2800000,4.0,Kombi
296,165,4,Beşiktaş,1,Ulus,8250000,4.0,Merkezi
297,100,4,Avcılar,0,Mustafa Kemal Paşa,144500,3.0,Kombi
298,105,9,Pendik,8,Güllü Bağlar,650000,3.0,Merkezi
299,90,6,Avcılar,2,Mustafa Kemal Paşa,193500,3.0,Kombi
300,90,4,Bağcılar,1,Demirkapı,460000,3.0,Kombi
301,150,10,Kadıköy,5,Göztepe,3300000,4.0,Kombi
303,58,18,Maltepe,13,Cevizli,590000,2.0,Merkezi (Pay Ölçer)
304,108,18,Maltepe,13,Cevizli,1065000,3.0,Merkezi (Pay Ölçer)
305,135,4,Maltepe,4,Küçükyalı,585000,4.0,Kombi
306,96,9,Pendik,1,Fevzi Çakmak,775000,3.0,Merkezi (Pay Ölçer)
307,280,4,Bakırköy,1,Şenlikköy,4000000,5.0,Kombi
308,135,5,Sarıyer,4,Pınar,7100000,3.0,Kombi
310,155,9,Kadıköy,0,Erenköy,1475000,4.0,Merkezi
311,150,5,Şişli,5,Esentepe,1325000,5.0,Kombi
312,160,12,Beylikdüzü,11,Adnan Kahveci,890000,3.0,Kombi
313,240,1,Bakırköy,4,Şenlikköy,8750000,5.0,Kombi
314,120,7,Beylikdüzü,7,Adnan Kahveci,1050000,3.0,Merkezi (Pay Ölçer)
315,260,4,Bakırköy,1,Şenlikköy,4900000,5.0,Kombi
316,190,14,Kadıköy,12,Fenerbahçe,5650000,5.0,Merkezi (Pay Ölçer)
317,95,6,Beşiktaş,0,Mecidiye,850000,3.0,Kombi
318,90,5,Gaziosmanpaşa,0,Karadeniz,195000,3.0,Kombi
319,185,6,Kağıthane,6,Şirintepe,680000,5.0,Kombi
320,62,10,Kartal,3,Topselvi,464000,2.0,Merkezi (Pay Ölçer)
321,240,8,Kadıköy,7,Suadiye,3990000,5.0,Kombi
322,200,13,Kadıköy,5,Erenköy,2250000,5.0,Merkezi
323,110,8,Beylikdüzü,3,Adnan Kahveci,760000,3.0,Merkezi (Pay Ölçer)
324,350,3,Bakırköy,2,Şenlikköy,7000000,7.0,Kombi
325,90,3,Sultangazi,2,Yunus Emre,395000,3.0,Kombi
326,175,4,Beşiktaş,3,Arnavutköy,8450000,4.0,Kombi
327,140,15,Kadıköy,12,Göztepe,3450000,4.0,Kombi
328,180,20,Kadıköy,7,Erenköy,4750000,4.0,Merkezi (Pay Ölçer)
329,170,6,Eyüpsultan,6,Güzeltepe,655000,5.0,Kombi
330,220,3,Bakırköy,0,Şenlikköy,3500000,5.0,Kombi
331,95,4,Kartal,1,Topselvi,463000,3.0,Kombi
333,120,4,Büyükçekmece,1,Pınartepe,1350000,4.0,Kombi
334,135,5,Beylikdüzü,0,Adnan Kahveci,649000,4.0,Kombi
335,175,4,Beşiktaş,-2,Abbasağa,770000,5.0,Merkezi
336,85,5,Gaziosmanpaşa,0,Sarıgöl,380000,3.0,Kombi
337,330,13,Beylikdüzü,12,Adnan Kahveci,1799000,6.0,Merkezi
338,143,5,Beşiktaş,4,Levazım,7000000,3.0,Merkezi (Pay Ölçer)
339,500,4,Bakırköy,4,Şenlikköy,10000000,8.0,Kombi
340,135,4,Beşiktaş,1,Ulus,3500000,4.0,Merkezi
342,85,5,Çatalca,0,Ferhatpaşa,315000,3.0,Kombi
343,330,3,Sarıyer,0,İstinye,16900000,5.0,Kombi
344,166,6,Beşiktaş,6,Etiler,8500000,3.0,Merkezi
345,150,10,Kadıköy,7,Suadiye,2750000,4.0,Kombi
347,110,3,Bakırköy,0,Şenlikköy,1475000,3.0,Kombi
348,65,6,Eyüpsultan,2,Mithatpaşa,675000,2.0,Merkezi
349,68,19,Esenyurt,5,Koza,640000,2.0,Merkezi
350,260,2,Bakırköy,4,Şenlikköy,4500000,5.0,Kombi
351,115,4,Beşiktaş,4,Yıldız,2750000,3.0,Kombi
352,85,5,Şişli,0,19 Mayıs,650000,3.0,Kombi
354,110,3,Bakırköy,1,Şenlikköy,2800000,4.0,Merkezi
355,140,9,Kadıköy,8,Göztepe,2600000,4.0,Kombi
356,250,5,Beşiktaş,0,Kuruçeşme,12500000,4.0,Kombi
359,68,5,Fatih,4,Mevlanakapı,400000,2.0,Rare
361,380,4,Beşiktaş,4,Ulus,9700000,7.0,Kombi
362,70,3,Fatih,-1,Silivrikapı,215000,3.0,Kombi
364,100,4,Küçükçekmece,2,Halkalı Merkez,540000,3.0,Kombi
365,120,4,Bakırköy,3,Zeytinlik,1050000,4.0,Kombi
369,210,3,Bakırköy,1,Şenlikköy,6250000,5.0,Kombi
371,140,12,Kadıköy,2,Göztepe,2950000,4.0,Kombi
372,80,7,Maltepe,4,Başıbüyük,815000,2.0,Kombi
373,160,9,Kadıköy,9,Erenköy,3300000,4.0,Kombi
374,85,5,Gaziosmanpaşa,1,Sarıgöl,460000,3.0,Kombi
375,220,5,Sultangazi,4,Cebeci,869000,6.0,Kombi
377,150,10,Kadıköy,5,Göztepe,2900000,4.0,Kombi
379,150,11,Kadıköy,2,Caddebostan,3650000,4.0,Kombi
380,95,5,Bayrampaşa,3,Terazidere,370000,3.0,Kombi
381,110,4,Kadıköy,1,Bostancı,600000,3.0,Kombi
382,130,7,Esenler,2,Nine Hatun,410000,4.0,Kombi
383,90,4,Üsküdar,1,Valide-i Atik,330000,3.0,Kombi
384,95,4,Bakırköy,2,Yeşilköy,1050000,3.0,Kombi
385,135,5,Maltepe,2,Feyzullah,1150000,4.0,Kombi
386,110,4,Esenyurt,0,Bağlarçeşme,174000,3.0,Kombi
387,300,16,Zeytinburnu,9,Kazlıçeşme,14000000,5.0,Kombi
388,220,4,Maltepe,4,İdealtepe,1530000,6.0,Kombi
389,95,5,Bayrampaşa,0,Ortamahalle,550000,3.0,Kombi
390,130,4,Maltepe,3,Küçükyalı,965000,4.0,Kombi
392,67,5,Çekmeköy,0,Sultançiftliği,225000,2.0,Kombi
393,155,4,Büyükçekmece,1,Fatih,800000,4.0,Kombi
394,100,11,Kadıköy,7,19 Mayıs,1415000,4.0,Kombi
395,120,23,Başakşehir,10,Bahçeşehir 1. Kısım,350000,3.0,Kombi
397,125,7,Silivri,0,Yeni,299000,4.0,Kombi
398,180,9,Kadıköy,7,Erenköy,1645000,4.0,Merkezi (Pay Ölçer)
399,60,5,Beyoğlu,0,Firuzağa,590000,2.0,Kombi
400,145,4,Beylikdüzü,2,Kavaklı,750000,4.0,Kombi
401,125,6,Bahçelievler,1,Siyavuşpaşa,495000,4.0,Kombi
402,160,24,Kadıköy,13,Fikirtepe,1750000,4.0,Merkezi (Pay Ölçer)
403,100,4,Çekmeköy,1,Aydınlar,450000,3.0,Kombi
405,90,5,Ümraniye,0,Yamanevler,395000,3.0,Kombi
406,150,12,Kadıköy,2,Göztepe,2950000,4.0,Kombi
407,130,5,Maltepe,4,Cevizli,875000,4.0,Kombi
408,150,9,Kadıköy,2,Bostancı,1745000,4.0,Kombi
409,160,14,Kadıköy,8,Erenköy,1865000,4.0,Merkezi
410,90,4,Maltepe,3,Altıntepe,760000,3.0,Kombi
411,85,5,Eyüpsultan,1,Esentepe,475000,3.0,Kombi
412,160,13,Kadıköy,2,Feneryolu,1850000,4.0,Merkezi
414,246,5,Beylikdüzü,3,Adnan Kahveci,2299000,5.0,Kombi
415,85,4,Kağıthane,0,Nurtepe,420000,3.0,Kombi
416,115,8,Kadıköy,1,Feneryolu,1395000,4.0,Kombi
417,120,4,Sarıyer,2,Yeniköy,4150000,4.0,Merkezi
418,140,1,Kadıköy,7,Bostancı,1350000,4.0,Kombi
419,90,4,Maltepe,0,Altıntepe,650000,3.0,Kombi
420,65,4,Maltepe,1,Altıntepe,535000,2.0,Kombi
421,375,10,Kadıköy,10,Fenerbahçe,8500000,8.0,Kombi
422,90,5,Kağıthane,1,Telsizler,430000,3.0,Kombi
423,175,5,Sarıyer,0,Ferahevler,5750000,5.0,Kombi
424,250,6,Şişli,6,Yayla,1000000,7.0,Kombi
425,65,4,Kağıthane,0,Yeşilce,340000,2.0,Kombi
426,250,5,Büyükçekmece,5,Atatürk,1300000,6.0,Kombi
427,85,5,Eyüpsultan,1,Güzeltepe,417000,3.0,Kombi
428,160,4,Kağıthane,3,Yahya Kemal,655000,6.0,Kombi
429,100,4,Esenyurt,0,Sultaniye,270000,3.0,Kombi
431,85,5,Bayrampaşa,2,Altıntepsi,360000,3.0,Rare
432,160,3,Kağıthane,2,Şirintepe,455000,5.0,Kombi
433,95,6,Çekmeköy,6,Cumhuriyet,377000,3.0,Kombi
434,85,5,Eyüpsultan,1,Çırçır,347000,3.0,Kombi
435,190,5,Beylikdüzü,5,Yakuplu,730000,6.0,Kombi
436,170,12,Kadıköy,6,Sahrayı Cedit,1650000,5.0,Merkezi (Pay Ölçer)
437,200,4,Zeytinburnu,3,Yenidoğan,875000,7.0,Kombi
438,120,4,Çekmeköy,2,Aydınlar,580000,4.0,Kombi
